RefImageName,NoiseType,NoisyImage
../../utils/GrayScale\153.png,3,0.png
../../utils/GrayScale\177.png,1,1.png
../../utils/GrayScale\179.png,2,2.png
../../utils/GrayScale\124.png,0,3.png
../../utils/GrayScale\102.png,1,4.png
../../utils/GrayScale\85.png,0,5.png
../../utils/GrayScale\12.png,2,6.png
../../utils/GrayScale\93.png,0,7.png
../../utils/GrayScale\186.png,3,8.png
../../utils/GrayScale\51.png,1,9.png
../../utils/GrayScale\18.png,0,10.png
../../utils/GrayScale\168.png,2,11.png
../../utils/GrayScale\20.png,0,12.png
../../utils/GrayScale\53.png,3,13.png
../../utils/GrayScale\118.png,0,14.png
../../utils/GrayScale\184.png,1,15.png
../../utils/GrayScale\127.png,1,16.png
../../utils/GrayScale\178.png,0,17.png
../../utils/GrayScale\198.png,3,18.png
../../utils/GrayScale\30.png,3,19.png
../../utils/GrayScale\25.png,2,20.png
../../utils/GrayScale\69.png,2,21.png
../../utils/GrayScale\5.png,3,22.png
../../utils/GrayScale\178.png,0,23.png
../../utils/GrayScale\123.png,3,24.png
../../utils/GrayScale\88.png,1,25.png
../../utils/GrayScale\162.png,1,26.png
../../utils/GrayScale\83.png,1,27.png
../../utils/GrayScale\28.png,1,28.png
../../utils/GrayScale\26.png,1,29.png
../../utils/GrayScale\43.png,2,30.png
../../utils/GrayScale\186.png,3,31.png
../../utils/GrayScale\22.png,0,32.png
../../utils/GrayScale\77.png,0,33.png
../../utils/GrayScale\191.png,0,34.png
../../utils/GrayScale\64.png,1,35.png
../../utils/GrayScale\61.png,1,36.png
../../utils/GrayScale\166.png,1,37.png
../../utils/GrayScale\35.png,2,38.png
../../utils/GrayScale\154.png,1,39.png
../../utils/GrayScale\161.png,0,40.png
../../utils/GrayScale\97.png,1,41.png
../../utils/GrayScale\92.png,2,42.png
../../utils/GrayScale\10.png,0,43.png
../../utils/GrayScale\133.png,1,44.png
../../utils/GrayScale\192.png,2,45.png
../../utils/GrayScale\110.png,2,46.png
../../utils/GrayScale\182.png,3,47.png
../../utils/GrayScale\64.png,2,48.png
../../utils/GrayScale\135.png,0,49.png
../../utils/GrayScale\8.png,0,50.png
../../utils/GrayScale\130.png,2,51.png
../../utils/GrayScale\19.png,3,52.png
../../utils/GrayScale\5.png,0,53.png
../../utils/GrayScale\102.png,1,54.png
../../utils/GrayScale\148.png,2,55.png
../../utils/GrayScale\170.png,3,56.png
../../utils/GrayScale\104.png,2,57.png
../../utils/GrayScale\77.png,3,58.png
../../utils/GrayScale\33.png,0,59.png
../../utils/GrayScale\136.png,1,60.png
