ref_image,input_image,x-shift,y-shift
TranslationDataset/Test/reference/slide003_core0920.png,TranslationDataset/Test/input/slide003_core0920.png,12,23
TranslationDataset/Test/reference/slide003_core0921.png,TranslationDataset/Test/input/slide003_core0921.png,7,55
TranslationDataset/Test/reference/slide003_core0922.png,TranslationDataset/Test/input/slide003_core0922.png,33,28
TranslationDataset/Test/reference/slide003_core0923.png,TranslationDataset/Test/input/slide003_core0923.png,5,26
TranslationDataset/Test/reference/slide003_core0924.png,TranslationDataset/Test/input/slide003_core0924.png,57,15
TranslationDataset/Test/reference/slide003_core0925.png,TranslationDataset/Test/input/slide003_core0925.png,25,54
TranslationDataset/Test/reference/slide003_core0926.png,TranslationDataset/Test/input/slide003_core0926.png,46,4
TranslationDataset/Test/reference/slide003_core0927.png,TranslationDataset/Test/input/slide003_core0927.png,7,28
TranslationDataset/Test/reference/slide003_core0928.png,TranslationDataset/Test/input/slide003_core0928.png,52,45
TranslationDataset/Test/reference/slide003_core0929.png,TranslationDataset/Test/input/slide003_core0929.png,37,42
TranslationDataset/Test/reference/slide003_core09210.png,TranslationDataset/Test/input/slide003_core09210.png,41,53
TranslationDataset/Test/reference/slide003_core09211.png,TranslationDataset/Test/input/slide003_core09211.png,8,11
TranslationDataset/Test/reference/slide003_core09212.png,TranslationDataset/Test/input/slide003_core09212.png,34,53
TranslationDataset/Test/reference/slide003_core09213.png,TranslationDataset/Test/input/slide003_core09213.png,42,19
TranslationDataset/Test/reference/slide003_core09214.png,TranslationDataset/Test/input/slide003_core09214.png,10,29
TranslationDataset/Test/reference/slide003_core09215.png,TranslationDataset/Test/input/slide003_core09215.png,51,13
TranslationDataset/Test/reference/slide003_core09216.png,TranslationDataset/Test/input/slide003_core09216.png,43,58
TranslationDataset/Test/reference/slide003_core09217.png,TranslationDataset/Test/input/slide003_core09217.png,31,2
TranslationDataset/Test/reference/slide003_core09218.png,TranslationDataset/Test/input/slide003_core09218.png,47,49
TranslationDataset/Test/reference/slide003_core09219.png,TranslationDataset/Test/input/slide003_core09219.png,5,40
TranslationDataset/Test/reference/slide003_core09220.png,TranslationDataset/Test/input/slide003_core09220.png,32,46
TranslationDataset/Test/reference/slide003_core09221.png,TranslationDataset/Test/input/slide003_core09221.png,29,34
TranslationDataset/Test/reference/slide003_core09222.png,TranslationDataset/Test/input/slide003_core09222.png,60,4
TranslationDataset/Test/reference/slide003_core09223.png,TranslationDataset/Test/input/slide003_core09223.png,38,23
TranslationDataset/Test/reference/slide003_core09224.png,TranslationDataset/Test/input/slide003_core09224.png,40,19
TranslationDataset/Test/reference/slide003_core09225.png,TranslationDataset/Test/input/slide003_core09225.png,8,38
TranslationDataset/Test/reference/slide003_core09226.png,TranslationDataset/Test/input/slide003_core09226.png,7,4
TranslationDataset/Test/reference/slide003_core09227.png,TranslationDataset/Test/input/slide003_core09227.png,62,1
TranslationDataset/Test/reference/slide003_core09228.png,TranslationDataset/Test/input/slide003_core09228.png,10,17
TranslationDataset/Test/reference/slide003_core09229.png,TranslationDataset/Test/input/slide003_core09229.png,55,16
TranslationDataset/Test/reference/slide003_core09230.png,TranslationDataset/Test/input/slide003_core09230.png,39,20
TranslationDataset/Test/reference/slide003_core09231.png,TranslationDataset/Test/input/slide003_core09231.png,31,59
TranslationDataset/Test/reference/slide003_core09232.png,TranslationDataset/Test/input/slide003_core09232.png,57,7
TranslationDataset/Test/reference/slide003_core09233.png,TranslationDataset/Test/input/slide003_core09233.png,58,27
TranslationDataset/Test/reference/slide003_core09234.png,TranslationDataset/Test/input/slide003_core09234.png,3,26
TranslationDataset/Test/reference/slide003_core09235.png,TranslationDataset/Test/input/slide003_core09235.png,23,8
TranslationDataset/Test/reference/slide003_core09236.png,TranslationDataset/Test/input/slide003_core09236.png,32,29
TranslationDataset/Test/reference/slide003_core09237.png,TranslationDataset/Test/input/slide003_core09237.png,44,4
