ref_image,input_image,x-shift,y-shift
TranslationDataset/Train/reference/slide001_core0110.png,TranslationDataset/Train/input/slide001_core0110.png,36,29
TranslationDataset/Train/reference/slide001_core0111.png,TranslationDataset/Train/input/slide001_core0111.png,20,45
TranslationDataset/Train/reference/slide001_core0112.png,TranslationDataset/Train/input/slide001_core0112.png,43,6
TranslationDataset/Train/reference/slide001_core0113.png,TranslationDataset/Train/input/slide001_core0113.png,55,56
TranslationDataset/Train/reference/slide001_core0114.png,TranslationDataset/Train/input/slide001_core0114.png,48,52
TranslationDataset/Train/reference/slide001_core0115.png,TranslationDataset/Train/input/slide001_core0115.png,41,19
TranslationDataset/Train/reference/slide001_core0116.png,TranslationDataset/Train/input/slide001_core0116.png,23,6
TranslationDataset/Train/reference/slide001_core0117.png,TranslationDataset/Train/input/slide001_core0117.png,58,32
TranslationDataset/Train/reference/slide001_core0118.png,TranslationDataset/Train/input/slide001_core0118.png,58,55
TranslationDataset/Train/reference/slide001_core0119.png,TranslationDataset/Train/input/slide001_core0119.png,17,28
TranslationDataset/Train/reference/slide001_core01110.png,TranslationDataset/Train/input/slide001_core01110.png,60,38
TranslationDataset/Train/reference/slide001_core01111.png,TranslationDataset/Train/input/slide001_core01111.png,61,52
TranslationDataset/Train/reference/slide001_core01112.png,TranslationDataset/Train/input/slide001_core01112.png,13,61
TranslationDataset/Train/reference/slide001_core01113.png,TranslationDataset/Train/input/slide001_core01113.png,37,18
TranslationDataset/Train/reference/slide001_core01114.png,TranslationDataset/Train/input/slide001_core01114.png,22,49
TranslationDataset/Train/reference/slide001_core01115.png,TranslationDataset/Train/input/slide001_core01115.png,5,22
TranslationDataset/Train/reference/slide001_core01116.png,TranslationDataset/Train/input/slide001_core01116.png,37,42
TranslationDataset/Train/reference/slide001_core01117.png,TranslationDataset/Train/input/slide001_core01117.png,22,58
TranslationDataset/Train/reference/slide001_core01118.png,TranslationDataset/Train/input/slide001_core01118.png,48,22
TranslationDataset/Train/reference/slide001_core01119.png,TranslationDataset/Train/input/slide001_core01119.png,6,49
TranslationDataset/Train/reference/slide001_core01120.png,TranslationDataset/Train/input/slide001_core01120.png,40,37
TranslationDataset/Train/reference/slide001_core01121.png,TranslationDataset/Train/input/slide001_core01121.png,49,52
TranslationDataset/Train/reference/slide001_core01122.png,TranslationDataset/Train/input/slide001_core01122.png,41,5
TranslationDataset/Train/reference/slide001_core01123.png,TranslationDataset/Train/input/slide001_core01123.png,43,41
TranslationDataset/Train/reference/slide001_core01124.png,TranslationDataset/Train/input/slide001_core01124.png,36,59
TranslationDataset/Train/reference/slide001_core01125.png,TranslationDataset/Train/input/slide001_core01125.png,57,13
TranslationDataset/Train/reference/slide001_core01126.png,TranslationDataset/Train/input/slide001_core01126.png,4,45
TranslationDataset/Train/reference/slide001_core01127.png,TranslationDataset/Train/input/slide001_core01127.png,39,61
